filename,starcoder2-3B-2000beg,starcoder2B-2000end,starcoder2B-2000mid
1C Enterprise,85.70518295112001,93.42453370503999,82.38874358368
2-Dimensional Array,29.41397172104,25.65913621568,28.894227738559998
4D,59.395449957080004,49.76172787936,49.39770310612
ABAP,14.911256716,11.72289251884,12.31005232228
ABAP CDS,33.16915710504,28.496598884679997,25.97704477856
ABNF,14.43947099752,14.21775172434,12.27400970928
AGS Script,59.08698104608,55.92377582036,50.38027923912
AIDL,26.472270484040003,27.83843348568,25.98095317556
AL,41.013035839560004,38.90093785252,40.39089721384
AMPL,30.871576657,28.60961377068,24.04075379456
API Blueprint,44.85682504656,43.33340513002,34.80831816184
APL,42.05016753456,41.398524568019994,37.58682722684
ASL,28.79531006304,27.647679349679997,25.171276848559998
ASN.1,16.36546185152,12.54543212634,11.74183680628
ASP.NET,57.39833711408,56.047654627360004,52.30765897412
ATS,125.18893558268,126.54073025605999,119.66490319252
ActionScript,56.68188773908,53.01502974836,48.140391836119996
Adblock Filter List,73.2024396336,71.8423800937,62.736845696399996
Adobe Font Metrics,44.49707015956,37.88644515202,36.78307410984
Agda,13.33753207752,13.78806506634,11.96562182828
Alloy,43.462199731560005,38.95352641602,37.655807933839995
Alpine Abuild,15.70693930652,14.12494091584,15.33276574228
Altium Designer,62.103987359079994,57.164167209359995,50.14792640012
AngelScript,34.19593442604,26.390667727679997,26.49388212256
Ant Build System,13.43719683052,13.732194434339998,12.46425865328
Antlers,70.37675158260001,67.5866483917,66.0316355084
ApacheConf,57.25731727608,57.69100825635999,49.78590960612
Apex,134.53682793468,112.17882464556,116.60588481252
Apollo Guidance Computer,14.02597507552,12.97237477034,13.28636903328
AppleScript,101.53124357764,95.69454867688,88.58582506796
AsciiDoc,44.61491168456,37.25690323452,37.43027886284
AspectJ,28.98514599504,25.727746967679998,25.037262211559998
Assembly,167.38430079372,158.28502285674,149.64287388508
Astro,14.00833693552,12.832110185840001,11.72160286228
Asymptote,29.73869468004,27.050933420679996,25.58712852856
AutoHotkey,14.15647262252,14.95114581134,14.26831912628
Avro IDL,15.70875781552,14.07963457334,14.022927405279999
Awk,13.15074601052,11.84164803084,12.889835185279999
B4X,47.27505489056,39.294298196019994,40.85423459184
BASIC,56.877040194079996,52.50748279536,54.28690161612
BQN,28.73708636304,28.686780279679997,25.327501861560002
Ballerina,68.5671728376,59.7150762842,69.28102405839999
Beef,44.02649863056,40.75694076302,37.97568874284
Befunge,72.7916620246,62.7526529337,60.3406230354
Berry,27.811910224040002,30.54661833068,24.63680183656
BibTeX,26.649514245040002,24.70071976168,24.079799855559997
Bicep,47.28320523856,42.236158504520006,35.29743024084
Bikeshed,31.22210883604,26.20572272168,25.27086605956
BitBake,79.94687879612,84.25866452904,75.80132552268
Blade,32.38857972104,29.48212130668,25.356551786559997
BlitzBasic,45.62852851804,41.97814771302,38.524737990839995
BlitzMax,15.16574862552,12.93834337934,13.67309523628
Bluespec,30.29035348704,26.05590042868,25.49354394356
Bluespec BH,56.97238802208,62.03825926636,49.21330528112
Boogie,40.33757082556,39.77604974002,41.832058372839995
Brainfuck,68.7854812366,62.9162722942,65.9718094454
BrighterScript,42.75385344256,40.21128049002,40.67774180684
Brightscript,13.87227974152,14.49915913734,12.50681304828
Browserslist,30.569956960040003,27.10694397268,24.364277372559997
C,843.75118958716,794.71862841672,759.6779610142399
C#,128.26771067068,118.92370422206,111.63358578452
C++,804.0660845496,753.3948338347,715.6861325204
CAP CDS,70.9465316736,66.1632781637,61.116645898399995
CIL,27.35320908804,26.142094451680002,24.29607600156
CLIPS,26.48017090404,29.26478773268,26.894204628559997
CMake,105.48606778564,100.61994068638,88.81854631096
COBOL,55.70428876708,54.15366813136,48.104531740119995
CODEOWNERS,14.14362416152,13.257818005339999,16.38054355228
CSON,56.52457236408,54.14129906636,49.50689518212
CSS,35.36084110104,30.28855054568,24.78051933356
CSV,13.21167433752,13.19557555734,11.97494912728
CUE,27.428448924039998,29.170584759679997,27.87218218256
CWeb,30.04402358,29.024577605679998,27.55141055956
Cabal Config,59.91585881408,52.521713931360004,49.89053347812
Caddyfile,27.53187772204,26.105749052679997,25.37857317956
Cadence,88.53326537212,79.11309309203999,73.66662234668
Cairo,75.16680416060001,63.7490074222,61.4499649814
Cairo Zero,75.908224566,67.2422013302,62.3420080394
CameLIGO,14.26472971252,12.91991335334,12.649273042279999
Carbon,27.58773640204,24.69051996968,24.41731514556
CartoCSS,14.72004843452,12.79356118034,12.45247601128
Ceylon,13.03022924452,13.26388358334,12.34826816028
Chapel,74.9316253676,73.7393440717,68.8959153734
Charity,15.90581975852,13.31821756234,12.16601861528
Checksums,253.93498381236,227.62173786012,226.84079872904
Circom,40.59370561856,39.86395493252,39.58486098184
Cirru,209.20825325927999,198.66171430376,177.12008759392
Clarion,64.05783198908,57.51342579036,48.52625197912
Clarity,42.68943130356,37.47926754052,37.63695903184
Classic ASP,27.25636719204,26.373551673679998,24.787838695559998
Clean,128.04979135668,126.17175000505999,116.30065526252
Click,27.90659437904,26.37403800168,25.14539124356
Clojure,145.51279303319998,127.9271012254,129.8585364108
Closure Templates,16.66655631652,13.023902203339999,11.92693764828
Cloud Firestore Security Rules,14.61861307052,17.63153277734,13.64152057928
CoNLL-U,44.634638293,42.00045383602,40.01095723484
CodeQL,87.82605274912,75.22140043304,76.34066925668
CoffeeScript,136.5183523112,140.2905926854,122.3076357078
ColdFusion,13.72242266452,12.74781657684,12.24034149528
ColdFusion CFC,29.55284336204,26.824797444679998,27.37646383256
Common Lisp,128.00347600167999,128.97179288406,111.03574404951999
Common Workflow Language,13.58917901052,12.40331634584,12.60753524428
Component Pascal,30.378307715040002,28.991874534679997,25.49687916256
Cool,28.76599126804,25.08894708468,25.00217555556
Coq,182.61777079576,176.90884199541998,173.08855059164
Creole,13.10003039552,13.52797853734,14.69467832728
Crystal,41.47991766756,45.668620562019996,36.41117541184
Csound,42.09124166956,38.59197237802,36.84401788984
Csound Document,42.63449702256,37.501707052520004,36.80191736384
Csound Score,39.62429434356,38.15190763052,37.86352417884
Cuda,29.51889439004,27.012914967679997,24.544538235559997
Cue Sheet,29.55668625104,29.33407180068,26.782397841559998
Curry,31.28616323204,27.941652317679996,25.74129379456
Cycript,17.31462654652,15.22156705734,12.305283081279999
Cylc,42.039850636560004,42.06682371901999,37.06428174384
Cypher,61.50957372308,51.28693225836,52.19689178512
D,132.69326107668,125.77126534205999,109.87321055652001
D2,31.171692856039996,25.758415031680002,24.82399405356
DIGITAL Command Language,61.93779797208,54.31557812536,56.14886539012
DM,13.79118412152,13.118349776339999,12.22088416628
DNS Zone,31.607291407999995,26.01624887468,23.82278068256
DTrace,41.40119360556,37.676385193019996,35.92352231084
Dafny,29.69438274704,26.41111698268,25.92965950056
Dart,16.23520969252,13.71980360734,12.68452494428
DataWeave,75.6130572826,65.67878835069999,60.0810703854
Debian Package Control File,26.39961337804,29.77896039168,26.150359800559997
DenizenScript,30.458996565039996,27.25862427668,24.57392252156
Dhall,26.40569610604,27.23182926168,24.289921785559997
Diff,14.66242207052,13.136233602339999,11.648259337279999
DirectX 3D File,14.25543274152,14.20766602034,12.87036032328
Dockerfile,32.18221921604,26.647013693679998,27.998466810559997
Dogescript,14.590841985520001,12.81373412234,13.239904663279999
Dotenv,200.01551227628,188.46495976976,177.62385387792
Dune,16.28261549852,17.65939810134,13.687000445279999
E,102.82215739464,94.69400280138,84.87257531496
E-mail,15.78450658452,13.153350677339999,12.55811992128
EBNF,56.89491576108,53.55902753236,51.25094427912
ECL,14.88086603352,13.00821311084,11.45362332028
ECLiPSe,13.26319204852,13.305429474339999,12.76212528228
EJS,76.80246077359999,71.64867924769999,60.008255791399996
EQ,40.40335983856,39.31904434202,37.19239714484
Eagle,28.89738006504,27.32858047768,25.664483170559997
Earthly,14.530526821,13.03819177034,12.60258232128
Easybuild,13.27935565652,12.78361653784,11.77137463928
Ecmarkup,13.68497251052,12.58893824934,11.602014670279999
Edge,15.69851135452,14.37732591434,12.89279016128
EdgeQL,27.50233166304,26.08337081968,25.09492503656
EditorConfig,40.24255919756,40.16275604702,38.14833983484
Edje Data Collection,14.46007078152,12.88401391934,12.93206145328
Eiffel,105.37341467064,92.84586036937999,93.44479132896
Elixir,87.39972996512,84.32465942104,73.78351638667999
Elm,41.08050356956,38.93883274752,39.40251635184
Elvish,13.69711451652,13.70756990134,12.48620020928
Emacs Lisp,156.40002959672,143.47307984824002,138.22810067408
EmberScript,14.49166730152,11.96504385234,11.83243364028
Erlang,237.55248406432,224.07228549043998,197.01901781548
Euphoria,161.029647299,140.2750106184,131.2746213188
F#,118.19407489116,103.83706804272,108.45500348024
FIGlet Font,14.27265381552,12.71560604834,13.49634926128
FIRRTL,30.58842862204,27.52093769068,29.76574117656
FLUX,58.880621234079996,51.06873409136,50.41206579412
Fantom,30.41204667004,27.95316198068,25.20176417156
Faust,30.377309067040002,28.67800126368,24.983815755560002
Fennel,27.37917598704,24.922616409680003,26.77413695756
Filebench WML,17.03838796252,11.84567725634,12.61310760728
Filterscript,26.67122631604,30.75778346868,27.044807386560002
Fluent,70.4816103556,65.8241529082,62.1775691984
Formatted,49.84012620356,44.79597862952,40.244196951839996
Forth,240.55793798932,207.29284501044,208.24396301648
Fortran,71.2328299816,65.4137401402,60.5743942104
FreeBASIC,56.97219762608,54.03456964636,52.37117691212
FreeMarker,28.56515279404,24.35981824868,25.69078127456
Frege,55.77978628508,52.89989344636,49.93873985012
Fstar,46.57916304956,42.186343369019994,38.72830349784
Futhark,16.30858894552,15.99912096834,12.71888109628
G-code,44.843588975559996,40.43138542052,39.35921674484
GAML,90.53863141712,82.78973861504,76.58767081168
GAMS,15.70166786652,13.614267630339999,16.91794444328
GAP,125.81008553668,131.35708768406,115.12379967252
GCC Machine Description,15.44707495952,13.219208351339999,12.32197973328
GDB,28.959691874039997,25.62708352168,26.78948054956
GDScript,59.709237898,59.54085626535999,50.44533406712
GEDCOM,15.59237646252,13.11844393034,14.43829182628
GLSL,301.5984590084,270.09724114979997,250.14493580159998
GN,155.31783659272,155.34547617574,136.27785681708
GSC,85.79641355612,83.34193190004,75.73586032468
Game Maker Language,157.28340599372,149.76126417474,137.74627293008
Gemfile.lock,14.46439249552,13.18529244734,12.52696312228
Gemini,15.63424480752,13.61315432434,13.28015402028
Genero 4gl,44.39104168556,40.23378593802,40.01528784084
Genero per,13.34055747952,14.50813550234,12.75386497128
Genie,59.02402214608,51.20143612836,49.256782166120004
Gerber Image,268.79629857136,265.61839426911996,244.86924702304
Gherkin,27.53511823404,24.589298972679998,27.60508221256
Git Attributes,14.12894817152,14.638853876339999,12.77096683428
Git Config,44.77868454856,38.756216633019996,39.28295711884
Git Revision List,13.04882726252,14.06209757534,11.96664023528
Gleam,26.81169906704,25.75632875568,25.13072493056
Glimmer JS,27.75439728704,28.81970599068,24.00078900556
Glimmer TS,28.247617483040003,24.55509340168,25.45775937456
Glyph Bitmap Distribution Format,14.38928958152,15.013526688339999,14.28959077428
Gnuplot,113.03146726916,101.48545271872001,98.30405424724
Go,64.09395911608,58.10972327635999,50.762389481119996
Go Checksums,27.74792146304,27.580206227679998,26.06928353256
Go Module,13.53912194252,13.613050339339999,12.39423581428
Go Workspace,13.11042953652,13.23716845734,12.86658131728
Godot Resource,77.0191674906,70.3995121337,63.3767585504
Golo,396.19608187604,359.59790287568,333.07673435056
Gosu,70.6267502276,63.017696071699994,63.6106042614
Grace,28.12151456804,29.764797303679998,24.348146623559998
Gradle,26.202217878040003,28.214819290679998,26.50180217756
Gradle Kotlin DSL,16.67939258952,12.81834985534,12.73600679628
Grammatical Framework,584.67665310532,525.00345429194,533.27328948248
Graph Modeling Language,43.40676765956,41.21101184852,39.043060810840004
GraphQL,60.49485610008,54.50641513536,50.25664853312
Graphviz (DOT),26.99802615104,28.271077276679996,25.61040421656
Groovy,96.46326702712,76.21347008804,81.44618982768
Groovy Server Pages,56.70588512508,50.793285743359995,46.91492399412
HAProxy,55.74477127408,56.914203795359995,52.97192484112
HCL,81.80412640612,87.71826297803999,79.82723389168
HLSL,70.5640812826,65.3455029977,61.4980744534
HOCON,54.85506488508,55.31277009636,51.97685413912
HTML,114.53365745416,108.64224531572,99.64227435923999
HTML+ECR,14.76900757752,12.48746591934,12.05277880528
HTML+EEX,42.51459602056,39.72848402602,36.02400826784
HTML+ERB,41.35756038356,38.35456987352,36.890961794839995
HTML+Razor,29.30357729904,29.02180305968,28.92307188756
HXML,27.22194021404,29.26500907668,24.087953666559997
Hack,440.4536168766,412.8318737182,364.9677815544
Haml,31.90390538704,25.82842821068,24.59448433156
Handlebars,25.65131388404,22.37133273568,21.92097571156
Hare,42.75200108856,38.32037153302,37.31186094484
Haskell,72.1674835476,63.4059237007,62.2976739664
HiveQL,26.90521873104,27.433519782679998,23.23962835356
HolyC,72.1225244826,68.0874231997,61.7896652714
Hosts File,27.476381482039997,26.85496292468,25.233283720560003
Hy,46.25091516956,38.15908992752,34.74709240684
HyPhy,116.97148568116,108.59243820072,100.38609603324
IDL,77.4526485606,77.1127380607,64.2637959964
IGOR Pro,100.141808141,43.45315319402,37.22345008584
INI,249.89623768984,225.59458961428,223.36806294676
Idris,14.14211171352,13.39311493534,12.13359285128
Ignore List,297.01564601192,281.51298460114,260.56033552088
ImageJ Macro,28.74877687104,32.78689224168,28.77116868856
Imba,13.65513573052,12.97908759634,12.47874036728
Inform 7,29.689274302039998,26.635674873680003,26.100838741559997
Ink,75.30231250599999,67.0386261502,66.6236726514
Inno Setup,27.12486252004,26.470305836679998,24.50219500756
Ioke,15.71567658052,14.27906390734,11.21053964028
Isabelle,13.55592270952,13.50328569684,12.54527994028
Isabelle ROOT,12.66459780452,13.57257155634,12.35968773928
J,33.154514606039996,24.722995755680003,24.73498533456
JAR Manifest,15.76913081052,14.88021505184,12.81420493528
JCL,39.38996940656,36.21027830852,43.48985474584
JFlex,34.340336979039996,29.45193251668,27.732728726559998
JSON,529.79932898772,479.50262936474,442.29986312508
JSON with Comments,382.90516961504,361.16775633218,372.96825429256
JSON5,35.45017153504,27.83623083268,25.12020405856
JSONLD,13.63576414652,14.111026427339999,11.69628459928
JSONiq,28.36964138004,26.43441162068,23.832286807560003
Janet,43.623563772560004,44.60565487802,39.55195787884
Jasmin,115.45518323216,107.63152865172,106.64299340124
Java,155.10057413072,153.11153170874,135.38880148808
Java Properties,32.46269650604,24.15581579168,24.43071528656
Java Template Engine,15.10262007852,14.21533493834,12.12618239928
JavaScript,595.0684176818,541.1961843316,496.25633542319997
JavaScript+ERB,14.962132825,14.00549500034,11.323507233279999
Jest Snapshot,17.73906214352,14.752596297339998,12.46037047428
JetBrains MPS,43.70527545156,38.53766390702,38.66535256884
Jinja,32.52093951404,26.12801922868,23.75715409056
Jison,46.461215854,41.459672278019994,37.97430411384
Jison Lex,30.19090132004,28.701533344679998,24.30489525056
Jolie,69.8988730816,66.9522245937,67.4424337234
Jsonnet,13.61018406452,13.09178648684,14.31448026328
Julia,29.919520237040004,28.57876856768,24.964994178559998
Jupyter Notebook,15.11571843852,12.664652300339998,15.12355939928
Just,29.656657380040002,25.61705752468,25.96738423656
KRL,14.23978411652,11.56449650084,11.606330635279999
Kaitai Struct,31.80747329404,32.87293725468,25.69718532156
KakouneScript,41.91812387256,40.82413695002,38.90425749284
KerboScript,41.14461109756,39.26389292252,38.43997839984
KiCad Layout,233.46430045332,238.88431876643997,221.03620577548
KiCad Legacy Layout,16.31991912352,14.46748689134,12.94164045728
KiCad Schematic,104.08082344264,97.47254356338,93.82919790396
Kickstart,41.61594977756,47.231350088019994,38.97051215684
Kit,13.421446535,15.53655782834,12.21577892728
Kotlin,15.19083566452,13.141151274339999,13.08010466728
Kusto,57.24833200008,54.77304736636,54.62054845212
LFE,56.83793883408,57.73784412336,51.04044260312
LOLCODE,12.91939776752,12.40240498034,12.075311964279999
LSL,27.94068110604,27.38450604468,23.96645152556
LTspice Symbol,17.334983455,12.096996060339999,12.29993090028
LabVIEW,166.77322113472,152.70577209773998,143.02133534208
Lark,42.20941304456,37.82331078752,37.12238838084
Lasso,44.73431200056,46.60818558402,38.86709975984
Latte,30.883259754039997,26.31311475268,23.23228062356
Lean,31.85139581004,26.91050654768,23.84975299656
Lean 4,14.85784377652,13.47704003234,12.17972222028
Less,14.30433240752,13.676464853339999,12.74120556828
Lex,27.331284323040002,27.82216586068,28.52932716956
LigoLANG,13.71065352552,12.88059426934,14.81344388628
Limbo,43.31494829756,46.37466620302,37.86403290584
Linker Script,60.25609414708,50.11233554136,51.56626945912
Linux Kernel Module,42.11086264856,39.54594202702,39.68718722284
Liquid,28.35178006504,26.73494743868,26.671112052559998
Literate Agda,14.15622140352,14.54982947934,12.26311484228
Literate CoffeeScript,34.46478576204,25.344450881679997,24.788299673559997
LiveCode Script,59.41190368808,57.27840737336,47.60067114612
LiveScript,13.50055729752,16.06713921034,11.86191272128
Logos,70.8448468886,70.88944243969999,114.0216042534
Logtalk,15.65886315152,14.42910012334,13.83019117528
LookML,43.26580623256,40.35740832002,38.841770749839995
LoomScript,28.439296862040003,27.351189985679998,25.04249206456
Lua,96.84210549664,102.81746240588001,87.88751506996
Luau,84.39481088599999,68.21327265069999,63.6195618644
M,412.31899771108,408.58328912786,369.44827657512
M4,78.75166249899999,68.0047738067,64.9649756584
M4Sugar,43.60756483056,42.03898007352,36.479385961839995
MATLAB,616.335904209,538.57378179826,504.52715918092
MAXScript,74.6481965126,77.4607507687,59.337124299399996
MDX,14.52970646352,13.00449108934,15.84170741028
MLIR,66.94143035708,52.30109434536,50.35846405612
MQL4,50.09879163356,39.67999289102,36.05953799584
MQL5,42.60634133056,39.50879547852,42.34581715784
MTML,15.35279618152,14.739484429840001,12.98383464828
MUF,28.97048385404,30.35704619968,25.34036963656
Macaulay2,15.38650609252,13.75990186934,11.90094102228
Makefile,179.14882354124,154.44444133308,146.58121131536
Markdown,138.7125131792,132.13088399240002,127.7154522148
Marko,40.51648637756,38.21330025102,35.56864185184
Mask,14.89188154652,12.36557542934,14.48739525828
Mathematica,171.33681429024,148.61616008608001,158.51435426636
Maven POM,14.07109732552,13.753563394339999,12.83068366428
Max,44.81162035456,42.23536460202,42.582683005839996
Mercury,152.0397738902,130.6015559494,131.5101004898
Mermaid,158.60921310172,143.53275233974,137.78588250808
Meson,27.76241344604,26.42709956868,25.56217381156
